dataset,algo,use_contrastive,seed,agent_id,no_components
cifar100,modular,False,seed_1,agent_1,17
cifar100,modular,False,seed_1,agent_2,18
cifar100,modular,False,seed_1,agent_6,18
cifar100,modular,False,seed_1,agent_7,18
cifar100,modular,False,seed_1,agent_4,16
cifar100,modular,False,seed_1,agent_3,17
cifar100,modular,False,seed_1,agent_0,18
cifar100,modular,False,seed_1,agent_5,19
cifar100,modular,False,seed_2,agent_1,17
cifar100,modular,False,seed_2,agent_2,17
cifar100,modular,False,seed_2,agent_6,17
cifar100,modular,False,seed_2,agent_7,17
cifar100,modular,False,seed_2,agent_4,16
cifar100,modular,False,seed_2,agent_3,16
cifar100,modular,False,seed_2,agent_0,17
cifar100,modular,False,seed_2,agent_5,17
cifar100,modular,False,seed_3,agent_1,19
cifar100,modular,False,seed_3,agent_2,17
cifar100,modular,False,seed_3,agent_6,20
cifar100,modular,False,seed_3,agent_7,15
cifar100,modular,False,seed_3,agent_4,17
cifar100,modular,False,seed_3,agent_3,18
cifar100,modular,False,seed_3,agent_0,18
cifar100,modular,False,seed_3,agent_5,16
cifar100,modular,False,seed_0,agent_1,18
cifar100,modular,False,seed_0,agent_2,17
cifar100,modular,False,seed_0,agent_6,17
cifar100,modular,False,seed_0,agent_7,16
cifar100,modular,False,seed_0,agent_4,16
cifar100,modular,False,seed_0,agent_3,18
cifar100,modular,False,seed_0,agent_0,18
cifar100,modular,False,seed_0,agent_5,17
cifar100,modular,True,seed_1,agent_1,17
cifar100,modular,True,seed_1,agent_2,19
cifar100,modular,True,seed_1,agent_6,17
cifar100,modular,True,seed_1,agent_7,18
cifar100,modular,True,seed_1,agent_4,19
cifar100,modular,True,seed_1,agent_3,18
cifar100,modular,True,seed_1,agent_0,17
cifar100,modular,True,seed_1,agent_5,19
cifar100,modular,True,seed_2,agent_1,17
cifar100,modular,True,seed_2,agent_2,17
cifar100,modular,True,seed_2,agent_6,16
cifar100,modular,True,seed_2,agent_7,18
cifar100,modular,True,seed_2,agent_4,20
cifar100,modular,True,seed_2,agent_3,18
cifar100,modular,True,seed_2,agent_0,19
cifar100,modular,True,seed_2,agent_5,17
cifar100,modular,True,seed_3,agent_1,18
cifar100,modular,True,seed_3,agent_2,19
cifar100,modular,True,seed_3,agent_6,19
cifar100,modular,True,seed_3,agent_7,18
cifar100,modular,True,seed_3,agent_4,18
cifar100,modular,True,seed_3,agent_3,17
cifar100,modular,True,seed_3,agent_0,17
cifar100,modular,True,seed_3,agent_5,16
cifar100,modular,True,seed_0,agent_1,17
cifar100,modular,True,seed_0,agent_2,18
cifar100,modular,True,seed_0,agent_6,15
cifar100,modular,True,seed_0,agent_7,16
cifar100,modular,True,seed_0,agent_4,18
cifar100,modular,True,seed_0,agent_3,17
cifar100,modular,True,seed_0,agent_0,15
cifar100,modular,True,seed_0,agent_5,18
