dataset,algo,use_contrastive,seed,agent_id,avg_acc,final_acc,forward,backward,catastrophic
kmnist,modular,True,seed_1,agent_1,0.8951027777777778,0.8825,0.5458333333333333,-0.0007999999999999933,0.024999999999999096
kmnist,modular,True,seed_1,agent_2,0.8558527777777777,0.82825,0.5,-0.0010666666666666602,2.7416666666666663
kmnist,modular,True,seed_1,agent_6,0.8767805555555556,0.8377499999999999,0.503,-0.000333333333333341,-0.5083333333333346
kmnist,modular,True,seed_1,agent_7,0.8584319444444445,0.8078333333333334,0.5006666666666667,-0.002133333333333335,2.5500000000000025
kmnist,modular,True,seed_1,agent_69420,0.8805,0.8805,0.5,0.3828333333333333,0.0
kmnist,modular,True,seed_1,agent_4,0.8470652777777778,0.8884166666666667,0.5,0.0006333333333333302,-0.3583333333333346
kmnist,modular,True,seed_1,agent_3,0.8656458333333332,0.8309999999999998,0.5094166666666666,-0.00013333333333334085,-1.1333333333333286
kmnist,modular,True,seed_1,agent_0,0.8543763888888889,0.8494166666666668,0.55075,-6.666666666666672e-05,-0.15833333333333072
kmnist,modular,True,seed_1,agent_5,0.8825458333333334,0.8549166666666667,0.5001666666666666,-0.0008333333333333377,0.15833333333333438
kmnist,modular,True,seed_2,agent_1,0.8488555555555556,0.85025,0.49466666666666664,0.0012333333333333382,-1.2916666666666667
kmnist,modular,True,seed_2,agent_2,0.8615708333333334,0.8386666666666668,0.4980833333333334,-0.001033333333333338,-0.9500000000000027
kmnist,modular,True,seed_2,agent_6,0.8512361111111111,0.8277499999999999,0.4995833333333333,0.002033333333333346,-0.7583333333333349
kmnist,modular,True,seed_2,agent_7,0.841411111111111,0.8283333333333333,0.5070833333333333,-0.001933333333333335,-0.40000000000000036
kmnist,modular,True,seed_2,agent_69420,0.870125,0.870125,0.5,0.38033333333333336,0.0
kmnist,modular,True,seed_2,agent_4,0.8089555555555555,0.8147500000000001,0.5076666666666667,-0.002333333333333328,-2.6250000000000036
kmnist,modular,True,seed_2,agent_3,0.8409652777777777,0.8249999999999998,0.476,-0.0025333333333333505,-1.4499999999999993
kmnist,modular,True,seed_2,agent_0,0.8478902777777777,0.8392499999999999,0.5,0.001466666666666668,-0.4166666666666652
kmnist,modular,True,seed_2,agent_5,0.8319833333333334,0.8024999999999999,0.5,-0.004733333333333338,-0.6416666666666664
kmnist,modular,True,seed_3,agent_1,0.88075,0.8474166666666667,0.5181666666666667,0.002433333333333347,-2.2583333333333346
kmnist,modular,True,seed_3,agent_2,0.8567194444444444,0.8210000000000001,0.5,-0.0013333333333333272,1.1166666666666678
kmnist,modular,True,seed_3,agent_6,0.8477791666666668,0.8045000000000001,0.4995833333333333,-0.0009999999999999935,-0.6499999999999988
kmnist,modular,True,seed_3,agent_7,0.8788624999999999,0.8814166666666668,0.5251666666666667,0.0016666666666666607,0.29166666666666785
kmnist,modular,True,seed_3,agent_69420,0.885875,0.885875,0.5,0.38883333333333336,0.0
kmnist,modular,True,seed_3,agent_4,0.8517569444444444,0.8371666666666666,0.5,0.001133333333333327,-1.0833333333333341
kmnist,modular,True,seed_3,agent_3,0.8454819444444445,0.8003333333333335,0.5,-0.003266666666666677,-0.8083333333333331
kmnist,modular,True,seed_3,agent_0,0.8185902777777777,0.8000833333333334,0.5047499999999999,0.0007666666666666637,-2.149999999999998
kmnist,modular,True,seed_3,agent_5,0.8304847222222222,0.8555,0.49724999999999997,-0.0008666666666666526,-2.0749999999999975
kmnist,modular,True,seed_0,agent_1,0.8248194444444442,0.8295833333333333,0.515,0.0008666666666666749,-1.6750000000000025
kmnist,modular,True,seed_0,agent_2,0.8396402777777778,0.8388333333333332,0.5140833333333333,0.0007666666666666784,0.28333333333333177
kmnist,modular,True,seed_0,agent_6,0.8811249999999999,0.8604166666666667,0.5437500000000001,-0.0012666666666666753,0.5583333333333347
kmnist,modular,True,seed_0,agent_7,0.8430694444444445,0.8678333333333335,0.48291666666666666,-9.999999999998159e-05,-0.9833333333333342
kmnist,modular,True,seed_0,agent_69420,0.88675,0.88675,0.5,0.3621666666666667,0.0
kmnist,modular,True,seed_0,agent_4,0.821573611111111,0.8268333333333334,0.5,0.002400000000000017,-0.26666666666666694
kmnist,modular,True,seed_0,agent_3,0.7967333333333332,0.8057499999999999,0.5,-0.0011333333333333417,-0.3249999999999994
kmnist,modular,True,seed_0,agent_0,0.8651236111111112,0.8861666666666667,0.54875,-0.00040000000000000034,-0.5083333333333366
kmnist,modular,True,seed_0,agent_5,0.8231916666666668,0.7866666666666667,0.5043333333333333,0.0005000000000000115,-0.46666666666666895
mnist,modular,True,seed_1,agent_1,0.9479224971606911,0.9522083554945344,0.4913086084037124,-0.0002632599234558016,-0.3970468852778371
mnist,modular,True,seed_1,agent_2,0.921882084310814,0.9293705822200652,0.5539152972938609,-0.004195849740318828,0.34942237579474644
mnist,modular,True,seed_1,agent_6,0.9628048412086953,0.947452250655819,0.5326758995130928,-0.0003643520867530059,-0.03068988910979546
mnist,modular,True,seed_1,agent_7,0.9737535581999587,0.967189436075944,0.521107957203846,-0.0006047488796455003,-0.332430525839276
mnist,modular,True,seed_1,agent_69420,0.9459747535006447,0.9459747535006447,0.4932194876946258,0.4947297617562123,0.0
mnist,modular,True,seed_1,agent_4,0.9752951814595493,0.9666664155137868,0.5927759520401458,-0.002421592352568965,0.7113106174371904
mnist,modular,True,seed_1,agent_3,0.9395524961085959,0.9363739809014217,0.4995342623208461,-0.0008665388955168588,-0.41417567119509946
mnist,modular,True,seed_1,agent_0,0.9620536013877367,0.9455832889512252,0.5524437034994493,-0.0003942267488651785,-0.4785747411520769
mnist,modular,True,seed_1,agent_5,0.972006221577844,0.9655441242264208,0.5125608213325624,-0.0005714053188931552,-0.1021155506405691
mnist,modular,True,seed_2,agent_1,0.9709208966376991,0.9664610210927408,0.50990588005459,-0.0025675005185486007,-0.4129933715744827
mnist,modular,True,seed_2,agent_2,0.9529983133500087,0.9298464546872331,0.5131308126932494,-0.0016255939273601028,-0.3476498767394328
mnist,modular,True,seed_2,agent_6,0.9239113182201747,0.9369017980525728,0.5081019881833835,-0.004061663297967903,-0.40493482671729586
mnist,modular,True,seed_2,agent_7,0.9604945307843518,0.9623514050699108,0.5048841074526836,0.00014662174628021034,-0.36833598342273144
mnist,modular,True,seed_2,agent_69420,0.9694371759011676,0.9694371759011676,0.4577161968466316,0.47152975845025685,0.0
mnist,modular,True,seed_2,agent_4,0.9544572896796816,0.9624724433304542,0.5826515893403061,-0.0003740923049931381,-0.2837612473920059
mnist,modular,True,seed_2,agent_3,0.9537285592639853,0.9399698389928056,0.5705188419581612,-0.0008488116648322015,-0.11653838855770204
mnist,modular,True,seed_2,agent_0,0.9650249473740157,0.9524760030225204,0.4920283749940541,6.842285105822891e-05,0.043661979568735784
mnist,modular,True,seed_2,agent_5,0.9601470655206336,0.9492494157031252,0.5169408690420187,-0.0008399245889835946,-0.06357142343602629
mnist,modular,True,seed_3,agent_1,0.9693175020595861,0.968732243539656,0.6004905767179555,-2.5282507047038236e-05,0.3543805832695405
mnist,modular,True,seed_3,agent_2,0.9614051626150069,0.9555522510309769,0.49590305746128466,6.657969343040193e-05,0.06951355887480823
mnist,modular,True,seed_3,agent_6,0.9438356709731132,0.9429680713378148,0.5345492158470576,0.0015895444427321233,-0.6869206397995098
mnist,modular,True,seed_3,agent_7,0.969525260421316,0.9674671003170684,0.4826475502432163,-0.0007556474128360617,0.10241717933235177
mnist,modular,True,seed_3,agent_69420,0.9725768789286604,0.9725768789286604,0.5293843283582089,0.4567357495414181,0.0
mnist,modular,True,seed_3,agent_4,0.9496468480121866,0.9327217020557824,0.4977370066408266,-0.0007016567056548887,0.05279621977472374
mnist,modular,True,seed_3,agent_3,0.9579923739005025,0.9421651885135532,0.5042255396070482,0.0004211293062170792,0.058355980413747156
mnist,modular,True,seed_3,agent_0,0.9677043614040496,0.948144569654424,0.4829676821531452,0.0002581167382192421,-0.29682464926390295
mnist,modular,True,seed_3,agent_5,0.9404821692122938,0.9499113243542896,0.4890755891001947,0.00016835657812872551,-0.4181407170334328
mnist,modular,True,seed_0,agent_1,0.9484236230402961,0.9371882208484472,0.47785336968968695,-5.5067296749052495e-06,-0.526114645073561
mnist,modular,True,seed_0,agent_2,0.9489221876145512,0.952320013729922,0.49213310497296714,-0.0009828768297134379,-0.4905596828128578
mnist,modular,True,seed_0,agent_6,0.9504760250821859,0.9444773168604804,0.5020001193052398,-0.0018358781046525553,-2.1383235492475725
mnist,modular,True,seed_0,agent_7,0.9576792355691679,0.9585069049961772,0.5639508854655878,0.0001764310863572242,-0.883443262341412
mnist,modular,True,seed_0,agent_69420,0.9668986524096724,0.9668986524096724,0.4943240454076367,0.4762152161137138,0.0
mnist,modular,True,seed_0,agent_4,0.9697996916932436,0.9595087818839808,0.5025851436854715,0.0002846913790910399,-0.5213574390438496
mnist,modular,True,seed_0,agent_3,0.9589065989422946,0.9601105322882638,0.5482353074807701,-0.0010941913431097665,0.32992036574068606
mnist,modular,True,seed_0,agent_0,0.9684647562450907,0.9734665218889932,0.5136139374930796,0.00020758020145496362,0.056150873662730305
mnist,modular,True,seed_0,agent_5,0.959304613699428,0.9621360584566486,0.5110037030036954,0.0009016829705119115,-0.1106131360507745
fashionmnist,modular,True,seed_1,agent_1,0.9662513888888888,0.95825,0.5455833333333333,0.0004666666666666523,-0.4833333333333319
fashionmnist,modular,True,seed_1,agent_2,0.949375,0.9325,0.5043333333333333,0.00539999999999999,-1.6499999999999997
fashionmnist,modular,True,seed_1,agent_6,0.9711680555555556,0.9509166666666669,0.5818333333333333,-0.0034666666666666474,-0.12500000000000105
fashionmnist,modular,True,seed_1,agent_7,0.9249249999999999,0.8921666666666667,0.5319166666666667,-0.0005666666666666412,-0.9916666666666666
fashionmnist,modular,True,seed_1,agent_69420,0.906625,0.906625,0.5,0.37916666666666665,0.0
fashionmnist,modular,True,seed_1,agent_4,0.9564555555555555,0.9145000000000002,0.48525,0.0008333333333333304,0.40000000000000036
fashionmnist,modular,True,seed_1,agent_3,0.8897499999999999,0.8935,0.49025,0.0014000000000000013,0.20000000000000018
fashionmnist,modular,True,seed_1,agent_0,0.9586333333333333,0.9449166666666668,0.5,0.0009000000000000045,0.1666666666666668
fashionmnist,modular,True,seed_1,agent_5,0.9352277777777779,0.9526666666666666,0.5005000000000001,-0.0011666666666666713,-1.1083333333333334
fashionmnist,modular,True,seed_2,agent_1,0.9302347222222221,0.94425,0.5,-0.0019666666666666647,-0.6499999999999988
fashionmnist,modular,True,seed_2,agent_2,0.9740652777777777,0.9683333333333334,0.5564166666666667,-0.0009666666666666712,-0.15833333333333255
fashionmnist,modular,True,seed_2,agent_6,0.9740513888888889,0.9731666666666666,0.5773333333333334,-0.0004666666666666819,-0.46666666666666706
fashionmnist,modular,True,seed_2,agent_7,0.9703277777777778,0.9701666666666668,0.5216666666666666,-0.00686666666666665,-0.7916666666666702
fashionmnist,modular,True,seed_2,agent_69420,0.95975,0.95975,0.5,0.45516666666666666,0.0
fashionmnist,modular,True,seed_2,agent_4,0.9231819444444445,0.92225,0.5,-0.003599999999999996,0.46666666666666895
fashionmnist,modular,True,seed_2,agent_3,0.9549263888888889,0.95775,0.42641666666666667,-0.002933333333333336,-0.4500000000000004
fashionmnist,modular,True,seed_2,agent_0,0.9703097222222222,0.9788333333333332,0.5573333333333333,0.0010999999999999972,-0.833333333333334
fashionmnist,modular,True,seed_2,agent_5,0.8824222222222223,0.9358333333333332,0.5,-0.007866666666666666,1.0916666666666666
fashionmnist,modular,True,seed_3,agent_1,0.8779236111111111,0.9275,0.5908333333333333,-0.007099999999999987,1.099999999999999
fashionmnist,modular,True,seed_3,agent_2,0.831675,0.8859166666666668,0.5,-0.001266666666666668,0.024999999999999096
fashionmnist,modular,True,seed_3,agent_6,0.885325,0.9331666666666666,0.46675,-0.0005999999999999857,-0.16666666666666496
fashionmnist,modular,True,seed_3,agent_7,0.9364013888888888,0.9176666666666669,0.5,-0.0003666666666666781,0.03333333333333521
fashionmnist,modular,True,seed_3,agent_69420,0.96625,0.96625,0.5,0.458,0.0
fashionmnist,modular,True,seed_3,agent_4,0.9336638888888888,0.9315,0.513,-0.0025666666666666503,0.799999999999997
fashionmnist,modular,True,seed_3,agent_3,0.9319763888888889,0.9209166666666668,0.5,0.004766666666666674,0.4166666666666652
fashionmnist,modular,True,seed_3,agent_0,0.9504041666666666,0.9595833333333332,0.41850000000000004,-0.0030666666666666694,-1.1166666666666678
fashionmnist,modular,True,seed_3,agent_5,0.9497402777777778,0.94675,0.4773333333333334,-0.001433333333333331,-2.375000000000001
fashionmnist,modular,True,seed_0,agent_1,0.8731694444444443,0.8753333333333333,0.5075,-0.0014666666666666606,-0.31666666666666876
fashionmnist,modular,True,seed_0,agent_2,0.956088888888889,0.9281666666666664,0.5,0.0015666666666666643,-0.3416666666666679
fashionmnist,modular,True,seed_0,agent_6,0.9669430555555557,0.9721666666666668,0.5014166666666666,-0.007066666666666673,-0.9250000000000017
fashionmnist,modular,True,seed_0,agent_7,0.9700055555555555,0.9420833333333332,0.57775,0.0019666666666666795,-0.5083333333333329
fashionmnist,modular,True,seed_0,agent_69420,0.938,0.938,0.5,0.4953333333333334,0.0
fashionmnist,modular,True,seed_0,agent_4,0.9515791666666668,0.9113333333333332,0.5025833333333333,-0.011566666666666659,1.7416666666666674
fashionmnist,modular,True,seed_0,agent_3,0.9533430555555555,0.9431666666666668,0.5778333333333333,-0.002966666666666673,-1.433333333333331
fashionmnist,modular,True,seed_0,agent_0,0.9431930555555557,0.9324166666666668,0.5000833333333333,-0.007200000000000007,1.5083333333333317
fashionmnist,modular,True,seed_0,agent_5,0.9795402777777777,0.9762500000000002,0.54575,0.0019666666666666647,0.04166666666666578
